"Line","Ref","DocType","QAdeter","QAmeas","year","workerID","Trade_raw","Task_raw","Tool_raw","Tool_make","Material_raw","percSI_ref","percSI_mat","percQuartz_mat","percCrist_mat","percTrid_mat","percTrip_mat","Mat_ana","Trade","Task","Material","Tool","Site_class","Site_type","Agent","NbMeas","AM","ASD","GM","GSD","est_GM","est_GM_meth","est_GSD","est_GSD_meth","Min","P5","P10","Med","P90","P95","Max","Other_stat","Other_stat_def","Type","Association","IDassociation","Association_detail","Raw_measurement","Sampling_time","Sampling_time2","Objective","Calc_meas","IDCalc","OEL","Adj_OEL","Sampling_meth","Analysis_type","Analysis_meth","Analysis_detail","LOD","Environnement","SourceProx","Contribution","Contribution_detail","Formation","ControlNotAPR","GenVent","ExhVent_proxim","ExhVent_tool","Wet_spray","Wet_tool","isoSrc","Other_control","control_detail","RPEused","RPEtype","RPE_remark","remark"
"4114","ID1138","6","6","6","1993","ID1138_02","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.08","209","4","4","0.08","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4115","ID1138","6","6","6","1993","ID1138_03","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"2.73","185","4","4","2.73","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4116","ID1138","6","6","6","1993","ID1138_03","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"2.78","203","4","4","2.78","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4117","ID1138","6","6","6","1993","ID1138_03","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.32","185","4","4","0.32","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4118","ID1138","6","6","6","1993","ID1138_03","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.41","203","4","4","0.41","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4119","ID1138","6","6","6","1993","ID1138_04","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"3.67","207","4","4","3.67","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4120","ID1138","6","6","6","1993","ID1138_04","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"4.9400000000000004","212","4","4","4.9400000000000004","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4121","ID1138","6","6","6","1993","ID1138_04","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.42","207","4","4","0.42","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4122","ID1138","6","6","6","1993","ID1138_04","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","32","25","5","16","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.81","212","4","4","0.81","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4123","ID1140","6","6","6","1992","ID1140_01","Abrasive blaster","Abrasive blasting","Abrasive blaster","Not specified_Non précisé","Sand","5","Not applicable_Sans objet","81","0","Not specified_Non précisé","Not specified_Non précisé","4","42","10","17","15","8","4","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.19","61","4","4","0.19","4","-2","-2","4","4","4",NA,"0.02","7","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"5","12",NA,"16"
